source,keyword,title,price_raw,url,image,normalized_name
lazada,ao khoac,Jeep Spirit Outdoor Windbreaker Clothing Men's Casual Jacket With Pockets Trendy Brand Spring and Autumn Windproof Men's Mountaineering Ski Suit,269.999 ₫,https://www.lazada.vn/products/pdp-i2562394269.html,https://img.lazcdn.com/g/p/6199d4f39b850a5a9862a16f01742c75.jpg_200x200q80.jpg,jeep spirit outdoor windbreaker clothing men s casual jacket with pockets trendy brand spring and autumn windproof men s mountaineering ski suit
lazada,ao khoac,ÁO GIÓ NAM ĐẸP CHỐNG NƯỚC ÁO GIÓ CHỐNG THẤM NĂM 2022,99.000 ₫,https://www.lazada.vn/products/pdp-i1999790061.html,https://img.lazcdn.com/g/p/8af4a5f79ac74999d468f1c8e6253e46.jpg_200x200q80.jpg,ao gio nam ep chong nuoc ao gio chong tham nam 2022
lazada,ao khoac,ÁO GIÓ NỮ VBEST 3C PLUS ÁO KHOÁC GIÓ NỮ Chống nước,74.900 ₫,https://www.lazada.vn/products/pdp-i1960741115.html,https://img.lazcdn.com/g/ff/kf/S065bb69f60304315b20629b60ac62205F.jpg_200x200q80.jpg,ao gio nu vbest 3c plus ao khoac gio nu chong nuoc
lazada,ao khoac,"Áo Khoác Kaki Nam Dày Nhiều Túi Chất Lượng Cao Siêu Dày Dặn Phong Cách Độc Đáo, Áo Khoác Nam Mùa Đông Dày Dặn M01",169.000 ₫,https://www.lazada.vn/products/pdp-i1540185329.html,https://img.lazcdn.com/g/p/751cbe7035a6b6884ab3350701d651e5.png_200x200q80.png,ao khoac kaki nam day nhieu tui chat luong cao sieu day dan phong cach oc ao ao khoac nam mua ong day dan m01
lazada,ao khoac,Áo khoác nam lót lông bao ấm,125.000 ₫,https://www.lazada.vn/products/pdp-i2524093312.html,https://img.lazcdn.com/g/p/641f83a15a3d6c07b4c2f16d4d6a8fe0.png_200x200q80.png,ao khoac nam lot long bao am
lazada,ao khoac,"ÁO NỈ, ÁO KHOÁC HOODIE ĐEN SIÊU SÀNH ĐIỆU NAM NỮ 2025 SÀNH ĐIỆU - TOKYO FASHION",49.000 ₫,https://www.lazada.vn/products/pdp-i3035822544.html,https://img.lazcdn.com/g/p/95e1bf6251ddabf4dacbb22f4bb551b8.jpg_200x200q80.jpg,ao ni ao khoac hoodie en sieu sanh ieu nam nu 2025 sanh ieu tokyo fashion
lazada,ao khoac,"Áo khoác nỉ 4 túi form rộng thêu chữ nón to trùm đầu dây kéo cao ,tay bo chun xỏ ngón thời trang PTY68 STORE",155.000 ₫,https://www.lazada.vn/products/pdp-i3141856308.html,https://img.lazcdn.com/g/p/1370882ebab01695f3c75ce7d5362945.jpg_200x200q80.jpg,ao khoac ni 4 tui form rong theu chu non to trum au day keo cao tay bo chun xo ngon thoi trang pty68 store
lazada,ao khoac,"ÁO KHOÁC HOODIES CÓ KHÓA NAM NỮ IN HÌNH CHỮ HÀN QUỐC CHẤT NỈ DÀY PHOM FORM RỘNG CHỐNG NẮNG, NÓNG ĐÔNG HÈ HOT TREND",46.800 ₫,https://www.lazada.vn/products/pdp-i2206435382.html,https://img.lazcdn.com/g/p/aca6ea53767790a0ac4f4d3327f8ed92.jpg_200x200q80.jpg,ao khoac hoodies co khoa nam nu in hinh chu han quoc chat ni day phom form rong chong nang nong ong he hot trend
lazada,ao khoac,Áo khoác Grap mẫu mới 2022 ( size 45 _ 120  kg ),122.000 ₫,https://www.lazada.vn/products/pdp-i2528967875.html,https://img.lazcdn.com/g/ff/kf/Sa16e241fd0794bb288c881908f4c7784d.jpg_200x200q80.jpg,ao khoac grap mau moi 2022 size 45 120 kg
lazada,ao khoac,ÁO KHOÁC JEANS NAM THƯƠNG HIỆU CAO CẤP VIET FASHION VF XANH ĐẬM V2,149.000 ₫,https://www.lazada.vn/products/pdp-i3040100336.html,https://img.lazcdn.com/g/p/fb9aab5b198752b05ab6e7b5353cb686.jpg_200x200q80.jpg,ao khoac jeans nam thuong hieu cao cap viet fashion vf xanh am v2
